"month_period","month_first_prize_number","month_three_front_number","month_three_tail_number","month_two_tail_number","month_beside_first_prize_number","month_other_prize_list","month_other_prize_number_list"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 2","109888"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 2","300727"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 2","431808"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 2","470627"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 2","570884"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 3","195846"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 3","384080"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 3","504550"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 3","643382"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 3","953707"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 3","226689"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 3","445054"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 3","605454"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 3","835498"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 3","955844"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","004014"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","221625"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","382500"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","673202"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","857009"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","005469"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","253321"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","407510"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","682368"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","883053"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","020245"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","261765"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","481649"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","701993"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","883072"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","080054"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","273668"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","490891"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","725861"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","915169"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","105007"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","289049"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","497574"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","767028"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","928684"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","145747"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","297660"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","519027"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","771733"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","946689"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","152321"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","323413"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","533989"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","771901"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","946819"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","160135"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","324057"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","545196"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","788059"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","961151"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","192008"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","351860"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","582167"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","836655"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","970248"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2559","377712","304 890","477 769","46","377711 377713","รางวัลที่ 4","209825"
