"month_period","month_first_prize_number","month_three_front_number","month_three_tail_number","month_two_tail_number","month_beside_first_prize_number","month_other_prize_list","month_other_prize_number_list"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 2","165055"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 2","223313"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 2","617596"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 2","734505"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 2","763352"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 3","375874"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 3","431219"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 3","517230"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 3","594436"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 3","743849"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 3","405166"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 3","455126"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 3","562093"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 3","734220"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 3","907424"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","013554"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","251203"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","361508"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","493910"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","737151"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","015474"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","266191"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","375969"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","516243"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","801364"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","062777"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","269977"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","405314"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","525926"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","811703"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","069976"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","279314"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","423478"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","574659"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","910115"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","082846"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","305333"
